,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
3468,https://www.rumah.com/listing-properti/dijual-sumarecon-oleh-gilang-setia-budi-20914526,Langka Bos,"Bandung Timur, Bandung, Jawa Barat",2,2,1400000000.0,66.0,140.0,2200,Tak Berperabot,2,-6.9174639,107.6191228,1000000.0,0,0,0,1
3469,https://www.rumah.com/listing-properti/dijual-setra-dago-oleh-gilang-setia-budi-20914533,Bandung Timur,"Antapani, Bandung, Jawa Barat",2,1,1650000000.0,50.0,199.0,2200,Tak Berperabot,1,-6.9135245,107.6594029,829145.0,0,0,0,1
3470,https://www.rumah.com/listing-properti/dijual-turangga-oleh-gilang-setia-budi-20914537,Rumah Inden/Baru,"Turangga, Bandung, Jawa Barat",3,2,900000000.0,70.0,79.0,2200,Multiple options available,1,-6.9390744,107.6289307,1139240.0,0,1,0,0
3471,https://www.rumah.com/listing-properti/dijual-pondok-hijau-indah-oleh-gilang-setia-budi-20914539,Pondok Hijau,"Geger Kalong, Bandung, Jawa Barat",4,4,2300000000.0,170.0,144.0,4400,Multiple options available,2,-6.8660066,107.5875009,1597222.0,0,1,0,0
3472,https://www.rumah.com/listing-properti/dijual-citra-green-dago-oleh-gilang-setia-budi-20914543,Rumah Mewah,"Dago, Bandung, Jawa Barat",4,4,5500000000.0,300.0,340.0,3500,Tak Berperabot,3,-6.8772577,107.6174119,1617647.0,0,0,0,1
3473,https://www.rumah.com/listing-properti/dijual-resor-dago-pakar-oleh-gilang-setia-budi-20914547,Bandung Utara,"Jl. Raya Golf Dago, Dago, Bandung, Coblong, Bandung, Jawa Barat",4,3,5000000000.0,200.0,355.0,4400,Tak Berperabot,4,-6.88575,107.613704,1408450.0,0,0,0,1
3474,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hitung-tanah-lokasi-bagus-antapani-oleh-ridwan-sukma-20586553,"Harga Terjangkau, Lokasi Oke, Jalan Lebar","Antapani, Bandung, Jawa Barat",6,2,920000000.0,150.0,180.0,1300,Multiple options available,1,0.7893,113.9213,511111.0,0,1,0,0
3475,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-megah-komplek-citra-dekat-bougenville-antapani-oleh-ridwan-sp-20914554,"Bangunan Megah, Lokasi Strategis, Harga Terjangkau","Antapani, Bandung, Jawa Barat",7,6,4400000000.0,360.0,414.0,3500,Multiple options available,2,0.7893,113.9213,1062801.0,0,1,0,0
3476,https://www.rumah.com/listing-properti/dijual-jual-butuh-rumah-hitung-tanah-di-sayap-sukanegara-antapani-oleh-ridwan-sp-20914555,"Harga dibawah Pasar, Lokasi Strategis, Jalan Lebar","Antapani, Bandung, Jawa Barat",6,2,920000000.0,150.0,180.0,1300,Multiple options available,1,0.7893,113.9213,511111.0,0,1,0,0
3477,https://www.rumah.com/listing-properti/dijual-rumah-konsep-jepang-terbaik-di-cigadung-dago-oleh-ridwan-sp-20570880,"Konsep Jepang, Lingkungan Nyaman, Lokasi Strategis","Dago, Bandung, Jawa Barat",3,2,2350000000.0,150.0,132.0,2200,Multiple options available,1,0.7893,113.9213,1780303.0,0,1,0,0
3478,https://www.rumah.com/listing-properti/dijual-rumah-baru-dalam-komplek-sayap-peta-dekat-lapangan-tegalega-bandung-oleh-aminah-20195495,Rumah Baru Dalam Komplek Sayap Peta Dekat Lapangan Tegalega Bandung,"Peta, Bandung Tengah, Bandung, Jawa Barat",3,3,1925000000.0,175.0,84.0,2200,Multiple options available,2,0.7893,113.9213,2291666.0,0,1,0,0
3479,https://www.rumah.com/listing-properti/dijual-rumah-sayap-gatot-subroto-terawat-oleh-aminah-20170886,Dijual Rumah Sayap Gatot Subroto Terawat,"Gatot Subroto, Bandung, Jawa Barat",7,6,8800000000.0,360.0,410.0,8000,Tak Berperabot,5,-6.9267649,107.6342596,2146341.0,0,0,0,1
