,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
2409,https://www.rumah.com/listing-properti/dijual-jual-rumah-mewah-di-setra-duta-oleh-irene-yoshua-20190483,Jual Rumah Mewah di Setra Duta,"Setra Duta, Setra Duta, Bandung, Jawa Barat",7,4,18500000000.0,600.0,816.0,16500,Sebagian,10,-6.8785349,107.5714934,2267156.0,0,0,1,0
2410,https://www.rumah.com/listing-properti/dijual-kota-baru-parahyangan-oleh-irene-yoshua-20345290,Rumah Tatar Pitaloka,"6 Jalan Panyawangan Kav 6-B, Kota Baru Parahyangan, Bandung, Jawa Barat",4,3,4500000000.0,180.0,220.0,2200,Tak Berperabot,2,-6.860389,107.482277,2045454.0,0,0,0,1
2411,https://www.rumah.com/listing-properti/dijual-podomoro-park-bandung-oleh-irene-yoshua-20338810,Rumah Amagriya,"156 Jl. Terusan Buahbatu, Bojongsoang, Bandung, Jawa Barat",2,2,1750000000.0,94.0,102.0,2200,Tak Berperabot,1,-6.9757528891439,107.63616175614,1715686.0,0,0,0,1
2412,https://www.rumah.com/listing-properti/dijual-rumah-oleh-hansen-20918253,"For Sale, Rumah siap huni di Bojongsoang","Bojongsoang, Bandung, Jawa Barat",2,1,1075000000.0,50.0,102.0,1300,Multiple options available,2,0.7893,113.9213,1053921.0,0,1,0,0
2414,https://www.rumah.com/listing-properti/dijual-pasir-impun-arcamanik-bandung-oleh-franklyn-20918247,Rumah modern kekinian banget di pasir impun arcamanik lapas sukamiskin,"Jl.Pasir Impun, Arcamanik Bandung, Arcamanik, Bandung, Jawa Barat",2,2,678987966.0,50.0,60.0,2200,Sebagian,1,-6.9291188,107.6764994,1131646.0,0,0,1,0
2415,https://www.rumah.com/listing-properti/dijual-batununggal-indah-oleh-irene-yoshua-20391530,Jual rumah baru Batununggal Indah,". Jl Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",3,3,1878000000.0,120.0,91.0,2200,Tak Berperabot,2,-6.954013,107.627417,2063736.0,0,0,0,1
2416,https://www.rumah.com/listing-properti/dijual-dijual-rumah-minimalis-modern-di-summarecon-bandung-oleh-irene-yoshua-20675748,Dijual Rumah Minimalis di Summarecon Bandung,"Cluster Chintya, Gedebage, Bandung, Jawa Barat",2,2,1774000000.0,60.0,90.0,2200,Tak Berperabot,1,-6.9532649,107.6955277,1971111.0,0,0,0,1
2417,https://www.rumah.com/listing-properti/dijual-rumah-mewah-lokasi-strategis-di-sayap-riau-bandung-oleh-cindy-z-20918265,Rumah Mewah Lokasi Strategis Di Sayap Riau Bandung,"sayap riau, Riau Re Martadinata, Bandung, Jawa Barat",4,3,9750000000.0,350.0,308.0,4400,Multiple options available,2,-6.9060648,107.6188765,3165584.0,0,1,0,0
2418,https://www.rumah.com/listing-properti/dijual-dijual-rumah-dan-ruang-usaha-di-setiabudi-bandung-oleh-irene-xaveria-20918283,Cocok Untuk Usaha,"Setiabudi, Bandung, Jawa Barat",4,4,24000000000.0,500.0,385.0,11000,Tak Berperabot,10,-6.8568695,107.5953908,6233766.0,0,0,0,1
2419,https://www.rumah.com/listing-properti/dijual-cimahi-oleh-maria-fransiska-20918302,Dijual Rumah Terawat di Perumahan Cimindi Raya,"Perumahan Cimindi Raya, Bandung Kulon, Bandung, Jawa Barat",5,3,2800000000.0,150.0,295.0,2200,Tak Berperabot,1,0.7893,113.9213,949152.0,0,0,0,1
2420,https://www.rumah.com/listing-properti/dijual-rumah-oleh-hansen-20918308,"For Sale, Rumah nyaman siap huni","Setra Duta, Bandung, Jawa Barat",6,5,6000000000.0,500.0,278.0,4400,,0,0.7893,113.9213,2158273.0,0,0,0,0
2422,https://www.rumah.com/listing-properti/dijual-jl-kembar-oleh-lanny-20918281,"Bangunan baru, hunian nyaman,","Bkr Kembar, Bandung, Jawa Barat",4,5,2500000000.0,300.0,156.0,10000,Lengkap,2,-7.090911,107.668887,1602564.0,1,0,0,0
2423,https://www.rumah.com/listing-properti/dijual-rumah-furnished-bandung-dekat-dago-oleh-putri-handayani-19998441,Dijual rumah furnished bandung dekat dago,"Jl Ligar Rimbun, Cimenyan, Bandung, Jawa Barat",2,3,1900000000.0,270.0,179.0,2200,Lengkap,2,-6.8807738,107.6392892,1061452.0,1,0,0,0
2424,https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-siap-huni-kota-baru-parahyangan-oleh-viana-20918334,Dijual Rumah Mewah Siap Huni Tatar Larangtapa,"Kota Baru Parahyangan, Kota Baru Parahyangan, Bandung, Jawa Barat",4,4,11000000000.0,450.0,630.0,4400,Multiple options available,2,-7.3536938,108.2585117,1746031.0,0,1,0,0
2425,https://www.rumah.com/listing-properti/dijual-komp-tamansari-bukit-bandung-nasution-sukamiskin-rumah-di-bandung-timur-kota-bandung-oleh-jufri-adi-20882620,"Komp. Taman Sari bukit Bandung, Nasution, Rumah di Bandung Timur","KOMP. TAMANSARI BUKIT BANDUNG, RUMAH BANDUNG TIMUR, Bandung Timur, Bandung, Jawa Barat",4,2,1950000000.0,192.0,156.0,2200,,0,-6.9174639,107.6191228,1250000.0,0,0,0,0
2427,https://www.rumah.com/listing-properti/dijual-sariwangi-regency-oleh-franklyn-19727494,Rumah di parongpong dekat setraduta akses tol pasteur dekat ke btc,"Jl. Sariwangi, Sariwangi, Bandung, Sarijadi, Bandung, Jawa Barat",3,2,765678999.0,50.0,67.0,2200,Sebagian,1,-6.864954,107.571827,1142804.0,0,0,1,0
2436,https://www.rumah.com/listing-properti/dijual-riau-re-martadinata-bandung-oleh-firman-20343467,Jual Hotel Jalan Riau Mainroad Bandung,"Riau Re martadinata, Cibeunying Kaler, Bandung, Jawa Barat",10,10,70000000000.0,2000.0,1506.0,76000,,0,0.7893,113.9213,4648074.0,0,0,0,0
2438,https://www.rumah.com/listing-properti/dijual-the-billabong-soeta-oleh-firman-20343454,Rumah Billabong Soeta Bandung Cluster One Gate System,". Jl. Soekarno Hatta No. 704 A, Babakan Penghulu, Cinambo, Bandung, Jawa Barat",2,1,950000000.0,60.0,72.0,2200,Tak Berperabot,1,-6.9400379,107.6826779,1319444.0,0,0,0,1
2439,https://www.rumah.com/listing-properti/dijual-riau-kota-bandung-oleh-firman-20343430,Rumah Sayap riau Bandung Cocok Untuk Usaha Dan Lainnya,"Riau bandung, Sumur Bandung, Bandung, Jawa Barat",10,9,10000000000.0,450.0,543.0,2200,Multiple options available,6,0.7893,113.9213,1841620.0,0,1,0,0
2441,https://www.rumah.com/listing-properti/dijual-grand-sharon-residence-oleh-tjun-tjun-18205859,"Dekat tol, Mall, Rs, komersial area dll","Jl. Inspeksi Cidurian, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",2,1,30000000.0,50.0,78.0,1300,Sebagian,1,-6.941404,107.669807,38461.0,0,0,1,0
2443,https://www.rumah.com/listing-properti/dijual-denpasar-antapani-rumah-di-bandung-timur-kota-bandung-oleh-jufri-adi-20882865,"Denpasar, antapani. rumah di bandung timur, kota bandung","DENPASAR, ANTAPANI, BANDUNG TIMUR,KOTA BANDUNG, Antapani, Bandung, Jawa Barat",6,3,1350000000.0,170.0,199.0,900,Multiple options available,1,-6.9135245,107.6594029,678392.0,0,1,0,0
2444,https://www.rumah.com/listing-properti/dijual-rumah-bagus-2-lantai-di-metro-margahayu-oleh-ronny-19375455,Turun Harga Rumah Bagus 2 lantai di Metro Margahayu,"Soekarno Hatta, Bandung, Jawa Barat",5,3,1490000000.0,180.0,144.0,2200,Multiple options available,2,-6.958023,107.657876,1034722.0,0,1,0,0
2445,https://www.rumah.com/listing-properti/dijual-dijual-rumah-semi-furnished-larangtapa-kota-baru-parahyangan-oleh-viana-20918359,Dijual Rumah Semi Furnished Larangtapa Kota Baru Parahyangan,"Kota Baru Parahyangan, Kota Baru Parahyangan, Bandung, Jawa Barat",5,3,14000000000.0,700.0,502.0,6600,Sebagian,2,-7.3536938,108.2585117,2788844.0,0,0,1,0
2446,https://www.rumah.com/listing-properti/dijual-setra-dago-antapani-oleh-lilly-agustine-20918378,"Rumah Lingkungan Asri Nyaman di Komplek Setra Dago Antapani, Bandung","Setra Dago, Antapani, Bandung, Jawa Barat",5,3,2000000000.0,120.0,151.0,2200,Sebagian,1,-6.9185834,107.6600073,1324503.0,0,0,1,0
2447,https://www.rumah.com/listing-properti/dijual-pajagalan-oleh-lilly-agustine-20918418,Dijual cepat Rumah Bagus di Pusat kota Bandung,"Sayap Pajagalan, Astanaanyar, Bandung, Jawa Barat",3,3,1750000000.0,180.0,89.0,2200,Multiple options available,1,-6.9299008,107.5993373,1966292.0,0,1,0,0
2449,https://www.rumah.com/listing-properti/dijual-pondok-hijau-oleh-lilly-agustine-20918449,"Rumah nyaman asri di komplek Pondok Hijau, Bandung Utara","Pondok Hijau Indah, Sukasari, Bandung, Jawa Barat",4,4,2500000000.0,145.0,251.0,2200,Tak Berperabot,1,-6.8529235,107.593419,996015.0,0,0,0,1
2450,https://www.rumah.com/listing-properti/dijual-rumah-terawat-jalan-cikutra-cibeunying-kaler-bandung-oleh-awan-izhar-20860172,"Dijual rumah terawat siap huni, Cikutra Cibeunying Kaler Bandung","jalan Cikutra, Cibeunying Kaler, Bandung, Jawa Barat",7,2,1650000000.0,140.0,143.0,1300,Tak Berperabot,1,-6.8974405,107.640769,1153846.0,0,0,0,1
2451,https://www.rumah.com/listing-properti/dijual-jual-tki-2-oleh-meliana-gunawan-20918443,Jual tki 2 strategis,"Tki 2, Taman Kopo Indah, Bandung, Jawa Barat",3,1,1700000000.0,220.0,185.0,4400,Multiple options available,2,0.7893,113.9213,918918.0,0,1,0,0
2452,https://www.rumah.com/listing-properti/dijual-tanjungsari-asri-residence-oleh-awan-izhar-20571124,"Dijual Cepat Rumah Cluster Tanjungsari Asri Antapani Jarang Ada 1,49M",". Jl.Tanjungsari Asri Tengah, Antapani, Bandung, Jawa Barat",3,2,1450000000.0,105.0,135.0,1300,Tak Berperabot,1,-6.9115781,107.6656835,1074074.0,0,0,0,1
2454,https://www.rumah.com/listing-properti/dijual-bentang-artha-residence-oleh-awan-izhar-20468073,Dijual cepat murah over kredit rumah cluster Bentang Artha Bojongsoang,"Monte Rosa, Bojongsoang, Bandung, Jawa Barat",2,1,69000000.0,40.0,60.0,1300,Tak Berperabot,1,-6.9725407,107.6629672,115000.0,0,0,0,1
2455,https://www.rumah.com/listing-properti/dijual-rumah-murah-cluster-griya-ujungberung-kota-bandung-oleh-awan-izhar-20860115,Dijual rumah murah 395jt cluster Ujungberung 1 km ke jalan raya,"Jalan Cigending, Ujung Berung, Bandung, Jawa Barat",2,1,395000000.0,45.0,84.0,1300,Tak Berperabot,1,-6.9060909,107.6911552,470238.0,0,0,0,1
2456,https://www.rumah.com/listing-properti/dijual-margahayu-raya-oleh-awan-izhar-20626778,Dijual rumah baru renovasi cluster Margahayu Buahbatu Kota Bandung,". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",2,1,515000000.0,55.0,75.0,900,Tak Berperabot,1,-6.958023,107.657876,686666.0,0,0,0,1
2457,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-siap-huni-komplek-perumnas-antapani-bandung-oleh-awan-izhar-20860234,"Dijual rumah 2 lantai, siap huni, Antapani perumnas masuk mobil","Jalan Antapani Bandung, Antapani, Bandung, Jawa Barat",3,3,779000000.0,120.0,72.0,2200,Tak Berperabot,1,-6.9185834,107.6600073,1081944.0,0,0,0,1
2458,https://www.rumah.com/listing-properti/dijual-permata-buah-batu-oleh-awan-izhar-20214489,"Dijual rumah cluster Permata Buahbatu 1, strategis dekat kampus Telkom","Jl . Ciganitri, Cijaura (Margasenang), Buah Batu, Buahbatu, Bandung, Jawa Barat",3,2,820000000.0,70.0,90.0,1300,Tak Berperabot,1,-6.972671,107.636392,911111.0,0,0,0,1
2459,https://www.rumah.com/listing-properti/dijual-buana-ciwastra-residences-oleh-awan-izhar-20792518,"Dijual rumah minimalis, siap huni cluster Buana Ciwastra kota Bandung",". Jl. H. Mukti Ciwastra, Margacinta, Bandung, Jawa Barat",4,3,880000000.0,90.0,105.0,1300,Tak Berperabot,1,-6.9586,107.6681,838095.0,0,0,0,1
2460,https://www.rumah.com/listing-properti/dijual-perumahan-cinambo-indah-oleh-awan-izhar-20448039,Dijual cepat rumah komplek Cinambo Bandung harga 685jt nego,"Jl Cinambo Indah, Cisaranten Wetan, Cinambo, Bandung, Jawa Barat",3,1,625000000.0,99.0,104.0,900,Sebagian,1,-6.92476,107.69115,600961.0,0,0,1,0
2461,https://www.rumah.com/listing-properti/dijual-margahayu-raya-oleh-awan-izhar-20079350,"Dijual rumah Murah! Siap Huni, 2 Lantai Strategis dekat jalan Ciwastra",". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",3,2,625000000.0,110.0,68.0,1300,Tak Berperabot,1,-6.958023,107.657876,919117.0,0,0,0,1
2462,https://www.rumah.com/listing-properti/dijual-taman-cibaduyut-indah-oleh-maria-fransiska-20918491,Dijual Rumah Siap Huni di Taman Cibaduyut Indah 1,"Taman Cibaduyut Indah, Cibaduyut, Bandung, Jawa Barat",2,2,1000000000.0,50.0,100.0,2200,Tak Berperabot,1,0.7893,113.9213,1000000.0,0,0,0,1
2463,https://www.rumah.com/listing-properti/dijual-satu-satunya-perumahan-modern-model-scandanavia-pertama-di-pusat-kota-ciparay-oleh-cecep-20891789,"Rumah Bagus Tanpa Dp hanya 5 Juta Sampai Akad, di Pusat Kota Ciparay","Ciparay, Bandung, Jawa Barat",2,1,380000000.0,38.0,68.0,1300,Tak Berperabot,1,-7.034975,107.7099171,558823.0,0,0,0,1
2468,https://www.rumah.com/listing-properti/dijual-dijual-rumah-minimalis-setraduta-axia-bandung-oleh-michael-poyo-20313536,Dijual Rumah Minimalis Setraduta Axia Bandung,"Setraduta Axia Bandung, Setra Duta, Bandung, Jawa Barat",3,3,2750000000.0,140.0,97.0,3500,,0,-6.8781404,107.570454,2835051.0,0,0,0,0
2470,https://www.rumah.com/listing-properti/dijual-gratis-pajak-beli-dijual-rumah-kembar-mas-utara-baru-furnished-oleh-michael-poyo-17005223,Bangunan Baru Konsep Rumah Kaca,"Kembar, Bandung Tengah, Mekar Wangi, Bandung, Jawa Barat",3,3,2700000000.0,202.0,120.0,2200,,0,-6.9153581,107.6314165,2250000.0,0,0,0,0
2473,https://www.rumah.com/listing-properti/dijual-dijual-rumah-setra-duta-baru-taman-besar-oleh-michael-poyo-20816975,Dijual Rumah Setra Duta Baru Taman Besar,"setra duta, Setra Duta, Bandung, Jawa Barat",6,7,6250000000.0,310.0,323.0,3500,Multiple options available,4,-6.8781404,107.570454,1934984.0,0,1,0,0
2474,https://www.rumah.com/listing-properti/dijual-dijual-rumah-2-lantai-gerlong-tonggoh-oleh-michael-poyo-20270618,Dijual Rumah 2 Lantai Gerlong Tonggoh,"Geger Kalong Tonggoh, Geger Kalong, Bandung, Jawa Barat",4,3,4200000000.0,250.0,520.0,4400,Multiple options available,1,-6.8660066,107.5875009,807692.0,0,1,0,0
2477,https://www.rumah.com/listing-properti/dijual-dijual-rumah-batununggal-bandung-harga-wajar-oleh-michael-poyo-20494955,Dijual Rumah Batununggal Bandung 2 Lantai,"Batununggal, BN, Batununggal, Bandung, Jawa Barat",4,3,4800000000.0,250.0,300.0,4400,Multiple options available,3,-6.9317606,107.6431247,1600000.0,0,1,0,0
2478,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-batununggal-konsep-terbaru-oleh-michael-poyo-20804370,Dijual Rumah Baru Batununggal Konsep Terbaru,"Batunuggal Lestari, Batununggal, Bandung, Jawa Barat",4,4,5400000000.0,301.0,230.0,3500,Multiple options available,2,-6.9317606,107.6431247,2347826.0,0,1,0,0
2481,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-dalam-komplek-cileunyi-bandung-oleh-ian-lesmana-saputra-19248742,Rumah murah di bandung timur,"Jalan Bina Karya, Cileunyi, Bandung, Jawa Barat",2,1,389000000.0,38.0,63.0,1300,Tak Berperabot,1,-6.9316588,107.7419708,617460.0,0,0,0,1
2483,https://www.rumah.com/listing-properti/dijual-kota-baru-parahyangan-oleh-albert-soenarjo-20864901,Dijual Rumah Lux di Kota Baru Parahyangan,"6 Jalan Panyawangan Kav 6-B, Kota Baru Parahyangan, Bandung, Jawa Barat",4,4,11500000000.0,470.0,620.0,5500,Sebagian,0,-6.860389,107.482277,1854838.0,0,0,1,0
2486,https://www.rumah.com/listing-properti/dijual-komplek-permata-biru-oleh-anwar-20436033,Rumah siap huni Bebas Banjir Di komplek permata biru Cinunuk Cileunyi,"Jln Raya cinunuk Cileunyi, Cileunyi, Bandung, Jawa Barat",3,3,430000000.0,80.0,70.0,1300,Tak Berperabot,1,0.7893,113.9213,614285.0,0,0,0,1
2487,https://www.rumah.com/listing-properti/dijual-antapani-kota-bandung-oleh-rosma-20521633,Di jamin murah rumah 400 jt-an di antapani,"Jl.antapani, Antapani, Bandung, Jawa Barat",1,1,475000000.0,45.0,60.0,900,Multiple options available,1,0.7893,113.9213,791666.0,0,1,0,0
2488,https://www.rumah.com/listing-properti/dijual-grand-sharon-residence-oleh-rosma-20707843,Rumah minimalis murah di grand sharon residence,"Jl. Inspeksi Cidurian, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",2,1,1050000000.0,53.0,115.0,1300,Tak Berperabot,1,-6.941404,107.669807,913043.0,0,0,0,1
2489,https://www.rumah.com/listing-properti/dijual-riung-bandung-oleh-rosma-20831757,Rumah murah 2 lantai di cluster riung bandung,"Jl Cipamokolan, Cisaranten Kidul, Gedebage, Gedebage, Bandung, Jawa Barat",3,2,975000000.0,70.0,90.0,1300,Tak Berperabot,1,-6.949444,107.683889,1083333.0,0,0,0,1
2490,https://www.rumah.com/listing-properti/dijual-bumi-panyileukan-oleh-rosma-20595377,Super murah! Rumah hitung tanah di bumi panyileukan,"Jl. Soekarno Hatta, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",3,1,245000000.0,36.0,60.0,900,Tak Berperabot,1,-6.943144,107.648629,408333.0,0,0,0,1
2491,https://www.rumah.com/listing-properti/dijual-rumah-cantik-terawat-strategis-di-tanjung-sari-asri-antapani-bandung-oleh-muhammad-nugraha-20918630,Rumah Cantik Terawat Strategis di Tanjung Sari Asri Antapani Bandung,"Tanjung Sari Asri Antapani, Antapani, Bandung, Jawa Barat",3,2,1750000000.0,95.0,141.0,2200,Tak Berperabot,2,-6.9185834,107.6600073,1241134.0,0,0,0,1
2492,https://www.rumah.com/listing-properti/dijual-dijual-rumah-lokasi-strategis-area-arcamanik-kota-bandung-oleh-donny-fatah-20909249,Dijual Rumah Lokasi Strategis Area Arcamanik Kota Bandung,"Arcamanik, Arcamanik, Bandung, Jawa Barat",4,3,1400000000.0,135.0,100.0,2200,Tak Berperabot,1,-6.9291188,107.6764994,1400000.0,0,0,0,1
2493,https://www.rumah.com/listing-properti/dijual-murah-rumah-area-strategis-riung-bandung-rancasari-oleh-muhammad-nugraha-20873756,Murah Rumah Area Strategis Riung Bandung Rancasari,"Riung Bandung Cipamokolan Rancasari Bandung, Rancasari, Bandung, Jawa Barat",2,1,550000000.0,50.0,72.0,2200,Tak Berperabot,1,-6.9641265,107.6847863,763888.0,0,0,0,1
2494,https://www.rumah.com/listing-properti/dijual-taman-raflesia-kawaluyaan-kiaracondong-oleh-amet-zaky-20430951,Rumah minimalis taman raflesia kawaluyaan kiaracondong metro margahayu,"kawaluyaan, Kiaracondong, Bandung, Jawa Barat",4,3,875000000.0,100.0,128.0,1300,Tak Berperabot,1,0.7893,113.9213,683593.0,0,0,0,1
2495,https://www.rumah.com/listing-properti/dijual-ciwastra-oleh-rusmi-20918707,Invest untung 2kali lipat di Ciwastra Bandungtimur dkt Kcic margacinta,"bandung, Bojongsoang, Bandung, Jawa Barat",2,1,443030300.0,25.0,50.0,1300,Sebagian,1,-6.9807593,107.6341573,886060.0,0,0,1,0
2496,https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-summarecon-bandung-oleh-selvi-parmawati-20826697,Rumah Baru Siap Huni Summarecon Bandung,"Gede Bage, Gedebage, Bandung, Jawa Barat",5,4,3200000000.0,196.0,162.0,3500,,0,-6.9436184,107.6815776,1975308.0,0,0,0,0
2497,https://www.rumah.com/listing-properti/dijual-dijual-rumah-kos-aktif-2-lantai-44-kamar-di-tubagus-ismail-oleh-elda-erlanda-20917457,Dijual Rumah Kos Aktif 2 Lantai 44 Kamar di Tubagus Ismail,"Tubagus Ismail, Dago, Bandung, Jawa Barat",10,10,24000000000.0,1000.0,1586.0,10000,Tak Berperabot,10,-6.8772577,107.6174119,1513240.0,0,0,0,1
2498,https://www.rumah.com/listing-properti/dijual-rumah-baru-minimalis-modern-istana-regency-pasteur-bandung-oleh-selvi-parmawati-20799402,Rumah Baru Minimalis Modern Istana Regency Pasteur Bandung,"Istana Regency, Pasteur, Bandung, Jawa Barat",5,4,3700000000.0,225.0,140.0,2200,Multiple options available,2,-6.8912891,107.5993373,2642857.0,0,1,0,0
2499,https://www.rumah.com/listing-properti/dijual-metro-margahayu-oleh-andri-20918720,Rumah mewah metro margahayu. Murah,"Metro margahayu, Margahayu, Bandung, Jawa Barat",4,3,1500000000.0,250.0,144.0,2200,Multiple options available,2,0.7893,113.9213,1041666.0,0,1,0,0
2500,https://www.rumah.com/listing-properti/dijual-citra-green-dago-oleh-andri-20853634,Rumah bagus citra green dago.,"Citra green dago, Dago, Bandung, Jawa Barat",5,4,2750000000.0,200.0,200.0,3500,Sebagian,2,0.7893,113.9213,1375000.0,0,0,1,0
2501,https://www.rumah.com/listing-properti/dijual-jl-supratman-oleh-andri-20853686,Kost kostan area jl supratman riau. Strategis,"Muara rajeun ,jl supratman, riau, Riau Re Martadinata, Bandung, Jawa Barat",10,9,3200000000.0,250.0,190.0,3500,Multiple options available,2,0.7893,113.9213,1684210.0,0,1,0,0
2502,https://www.rumah.com/listing-properti/dijual-cikutra-oleh-andri-20861387,Rumah gress cluster bojongkoneng makmur cikutra,"cikutra bojong koneng makmur, Cikutra, Bandung, Jawa Barat",3,2,1100000000.0,82.0,83.0,2200,Multiple options available,2,-6.9015937,107.6394332,1325301.0,0,1,0,0
2503,https://www.rumah.com/listing-properti/dijual-batununggal-oleh-andri-20841166,Rumah siap huni dan terawat cluster Batununggal,"batununggal buahbatu, Batununggal, Bandung, Jawa Barat",4,3,2200000000.0,130.0,168.0,2200,Multiple options available,1,-6.9317606,107.6431247,1309523.0,0,1,0,0
2504,https://www.rumah.com/listing-properti/dijual-soekarno-hatta-oleh-andri-20841031,Rumah gress 2lnt soekarno hatta. hanya 40meter dr jl raya,"soekarno hatta metro palm permai, Soekarno Hatta, Bandung, Jawa Barat",4,4,1400000000.0,150.0,114.0,2200,Multiple options available,2,-6.942695,107.6499866,1228070.0,0,1,0,0
2505,https://www.rumah.com/listing-properti/dijual-sarijadi-oleh-andri-20538976,Kost kostan sarijadi. area kampus polban maranatha,"sarijadi, Sarijadi, Bandung, Jawa Barat",10,3,850000000.0,150.0,84.0,2200,,0,-6.8766315,107.5786238,1011904.0,0,0,0,0
2506,https://www.rumah.com/listing-properti/dijual-antapani-ters-jakarta-oleh-andri-20680334,Rumah lux.Exclusive. Villa antapani. cluster. semi furnish,"antapani ters jakarta, Antapani, Bandung, Jawa Barat",4,3,3875000000.0,350.0,208.0,3500,Sebagian,2,-6.9135245,107.6594029,1862980.0,0,0,1,0
2507,https://www.rumah.com/listing-properti/dijual-husein-sastra-negara-andir-oleh-andri-20669363,Rumah keren Cluster dekat husein sastranegara bandung,"husein sastra negara andir, Andir, Bandung, Jawa Barat",4,3,1500000000.0,130.0,168.0,2200,Multiple options available,2,-6.9136276,107.5776047,892857.0,0,1,0,0
2509,https://www.rumah.com/listing-properti/dijual-turangga-reog-buahbatu-oleh-andri-20832801,Rumah top kinanti area turangga buahbatu,"turangga reog buahbatu, Turangga, Bandung, Jawa Barat",7,5,6975000000.0,550.0,363.0,4400,Multiple options available,3,-6.9390744,107.6289307,1921487.0,0,1,0,0
2510,https://www.rumah.com/listing-properti/dijual-riau-re-martadinata-oleh-andri-20788620,Rumah Strategis jl Aceh Riau Re Martadinata,"Riau RE Martadinata, Riau Re Martadinata, Bandung, Jawa Barat",5,4,20000000000.0,250.0,794.0,4400,Multiple options available,5,-6.9060648,107.6188765,2518891.0,0,1,0,0
2511,https://www.rumah.com/listing-properti/dijual-cijambe-ujung-berung-oleh-andri-20786470,Rumah bagus simpai asih cijambe sman 24bandung,"cijambe ujung berung, Ujung Berung, Bandung, Jawa Barat",3,2,850000000.0,100.0,146.0,1300,Multiple options available,1,-6.9060909,107.6911552,582191.0,0,1,0,0
2512,https://www.rumah.com/listing-properti/dijual-cicaheum-oleh-banjar-20604897,DP Terjangkau Lokasi Strategis di Padasuka Cicaheum Kota Bandung,"Buahbatu, Bandung, Jawa Barat",3,2,799000000.0,60.0,60.0,2200,Sebagian,1,0.7893,113.9213,1331666.0,0,0,1,0
2513,https://www.rumah.com/listing-properti/dijual-soreang-oleh-banjar-20006178,Murah Meriah Cicilan Flat 2 Juta Promo Bpjs Ketenagakerjaan di Soreang,"Cangkuang, Bandung Selatan, Bandung, Jawa Barat",2,1,429005000.0,36.0,58.0,1300,Tak Berperabot,1,0.7893,113.9213,739663.0,0,0,0,1
2514,https://www.rumah.com/listing-properti/dijual-katapang-oleh-banjar-20138107,Rumah 2lantai di Kopo Soreang dekat ke Taman Kopo indah dan Tol Soroja,"Kopo, Bandung Selatan, Bandung, Jawa Barat",3,2,745363500.0,60.0,72.0,2200,Tak Berperabot,1,0.7893,113.9213,1035227.0,0,0,0,1
2515,https://www.rumah.com/listing-properti/dijual-soreang-oleh-banjar-20274313,Rumah dekat Pusat Kota dan tol seroja dengan harga sangat terjangkau,"Soreang, Bandung, Jawa Barat",3,2,632000000.0,50.0,61.0,2200,Multiple options available,1,0.7893,113.9213,1036065.0,0,1,0,0
2516,https://www.rumah.com/listing-properti/dijual-cangkuang-oleh-banjar-20274567,Rumah Hook Tanah Luas di Cangkuang Nagrak Soreang Banjaran,"Cangkuang, Bandung, Jawa Barat",3,1,568000000.0,45.0,97.0,1300,Multiple options available,1,0.7893,113.9213,585567.0,0,1,0,0
2517,https://www.rumah.com/listing-properti/dijual-margahayu-oleh-banjar-20288433,Rumah strategis desain mewah dan harga minim di Margahayu Raya Metro,"Margahayu, Bandung, Jawa Barat",3,2,711000000.0,50.0,52.0,2200,Sebagian,1,-6.9667694,107.5757511,1367307.0,0,0,1,0
2518,https://www.rumah.com/listing-properti/dijual-pasir-impun-oleh-banjar-20315158,Perumahan Nuansa Resort Bandung Timur Pasirimpun akses Cicaheum,"Arcamanik, Bandung, Jawa Barat",2,2,569000000.0,44.0,60.0,2200,Sebagian,1,0.7893,113.9213,948333.0,0,0,1,0
2519,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-ciwastra-oleh-banjar-20799917,Dijual Rumah di Ciwastra Dekat Kereta Cepat Gede Bage Bandung,"Ciwastra, Bandung, Jawa Barat",2,1,465000000.0,25.0,50.0,1300,Tak Berperabot,0,-6.9598173,107.661547,930000.0,0,0,0,1
2521,https://www.rumah.com/listing-properti/dijual-rumah-antapani-siap-huni-dekat-terminal-antapani-dan-arcamanik-oleh-guntur-ramadhan-20244082,Rumah Antapani Siap Huni dekat terminal Antapani,"Antapani, Antapani, Bandung, Jawa Barat",2,1,1000000000.0,65.0,101.0,2200,Multiple options available,2,0.7893,113.9213,990099.0,0,1,0,0
